Player,Nation,Squad,Pos,Age,MP,Starts,Min,Gls,Ast,PK,CrdY,CrdR,Expected_xG,Expected_xAG
Jordan Holsgrove,sct SCO,Estoril,MF,26,11,11,935,1,3,0,4,0,0.5,2.0
Lukáš Horníček,cz CZE,Braga,GK,23,11,11,990,0,0,0,1,0,0.0,0.0
Player,Nation,Squad,Pos,,MP,Starts,Min,Gls,Ast,PK,CrdY,CrdR,xG,xAG
Ricardo Horta,pt POR,Braga,"MF,FW",31,9,7,610,4,0,1,0,0,2.8,0.9
Xabier Huarte Armendáriz,es ESP,Tondela,MF,24,4,1,135,0,0,0,0,0,0.6,0.0
Lee Hyunju,kr KOR,Arouca,MF,22,9,7,620,0,2,0,1,0,0.9,0.7
André Inácio,br BRA,Rio Ave,FW,23,11,10,864,4,4,0,3,0,3.6,1.0
Gonçalo Inácio,pt POR,Sporting CP,DF,24,11,11,990,0,2,0,2,0,0.3,0.6
Fotis Ioannidis,gr GRE,Sporting CP,FW,25,7,0,165,2,0,0,0,0,1.4,0.1
Or Israelov,il ISR,Estoril,DF,21,1,0,18,0,0,0,0,0,0.0,0.0
Franjo Ivanović,hr CRO,Benfica,FW,22,9,6,472,3,0,1,1,0,3.2,0.1
Isaac James,ng NGA,Alverca,"MF,DF",21,5,4,371,0,1,0,1,0,0.1,0.3
Romualdas Jansonas,lt LTU,Arouca,FW,20,2,0,48,0,0,0,0,0,0.0,0.0
Luis Javier Suárez,co COL,Sporting CP,FW,27,11,11,900,7,2,2,1,0,8.5,1.8
Alisson Jesus,br BRA,Estrela,FW,20,1,0,28,0,0,0,1,0,0.4,0.0
Lucas João,ao ANG,Nacional,FW,32,6,0,49,0,0,0,0,0,0.4,0.0
Luuk de Jong,nl NED,Porto,FW,35,4,2,236,1,0,0,1,0,1.2,0.6
Joel Jorquera,es ESP,Moreirense,"FW,MF",25,4,0,32,0,0,0,0,0,0.0,0.0
Antoine Joujou,fr FRA,Famalicão,FW,22,7,2,239,1,0,0,0,0,0.4,0.6
Kaique,br BRA,Nacional,GK,22,5,5,450,0,0,0,1,0,0.0,0.0
Yann Karamoh,fr FRA,Porto,FW,27,1,0,8,0,0,0,0,0,0.0,0.0
Kauan,br BRA,Alverca,DF,20,1,0,10,0,0,0,0,0,0.0,0.0
Kikas,pt POR,Estrela,FW,27,10,7,670,3,1,0,0,0,3.7,0.3
Kiko,pt POR,Moreirense,"DF,MF",23,10,10,825,1,0,0,3,0,0.5,0.5
Jakub Kiwior,pl POL,Porto,DF,25,7,7,630,0,1,0,0,0,0.3,0.5
Giorgi Kochorashvili,ge GEO,Sporting CP,MF,26,9,3,342,0,0,0,0,0,0.6,0.0
Kobamelo Kodisang,za RSA,AVS Futebol,FW,26,4,1,116,0,0,0,0,0,0.0,0.1
Ghislain Konan,ci CIV,Gil Vicente FC,DF,29,11,11,983,0,0,0,2,0,0.3,0.4
Player,Nation,Squad,Pos,,MP,Starts,Min,Gls,Ast,PK,CrdY,CrdR,xG,xAG
Chiheb Labidi,tn TUN,Nacional,MF,24,9,9,650,0,0,0,2,0,0.7,0.1
André Lacximicant,pt POR,Estoril,FW,24,11,5,512,1,1,0,0,0,1.1,0.7
Gustaf Lagerbielke,se SWE,Braga,DF,25,10,8,780,1,0,0,2,0,0.3,0.1
Landerson,br BRA,Moreirense,FW,18,7,2,264,0,1,0,0,0,0.0,0.4
Larra,es ESP,Casa Pia,"MF,DF",27,11,11,925,0,1,0,2,0,0.3,0.4
Orest Lebedenko,ua UKR,Vitória,DF,27,5,1,179,0,0,0,0,0,0.2,0.1
Tiago Leite,pt POR,Alverca,FW,25,6,0,67,0,0,0,0,0,1.3,0.1
Leonardo Lelo,pt POR,Braga,"DF,MF",25,11,11,909,0,4,0,0,0,0.4,3.1
Georgios Liavas,gr GRE,Rio Ave,MF,24,11,4,472,0,1,0,1,0,0.0,0.5
Ivan Lima,pt POR,Benfica,FW,20,1,0,14,0,0,0,0,0,0.0,0.0
Pedro Lima,br BRA,AVS Futebol,MF,22,9,5,518,1,1,0,1,0,0.5,0.6
Sandro Lima,br BRA,Alverca,FW,35,10,0,223,2,1,0,0,0,1.3,0.4
Lincoln,br BRA,Alverca,"FW,MF",27,8,7,592,1,2,0,1,0,1.5,1.2
Yan Lincon,br BRA,Moreirense,FW,23,8,2,253,1,1,0,2,0,2.2,0.3
Jérémy Livolant,fr FRA,Casa Pia,"FW,MF",27,11,11,953,3,3,1,1,0,3.9,2.0
Dailon Livramento,cv CPV,Casa Pia,FW,24,7,3,283,0,0,0,1,0,0.9,0.1
Liziero,br BRA,Nacional,MF,27,11,11,897,0,3,0,4,0,0.5,1.2
Diogo Lobão,pt POR,Vitória,MF,19,3,2,160,0,0,0,1,0,0.2,0.1
Julien Lomboto,,Rio Ave,DF,23,3,2,129,0,0,0,1,0,0.0,0.0
Nodari Lominadze,ge GEO,Estoril,MF,23,9,7,493,2,0,0,3,0,0.8,0.6
Tom van de Looi,nl NED,Famalicão,MF,26,10,9,820,0,0,0,2,0,0.4,0.9
