Player,Nation,Squad,Pos,Age,MP,Starts,Min,Gls,Ast,PK,CrdY,CrdR,Gls,Ast
Roger Fernandes,pt POR,Braga,MF,20-065,4,4,32500,1,1,0,1,0,0.28,0.28
Martín Fernández,uy URU,Gil Vicente FC,MF,22-216,15,4,43900,1,1,0,2,0,0.21,0.21
André Ferreira,pt POR,Moreirense,GK,29-241,10,10,90000,0,0,0,1,0,0.00,0.00
Marcelo dos Santos Ferreira,br BRA,Moreirense,DF,36-182,12,11,96000,1,0,0,5,0,0.09,0.00
Pedro Ferreira,pt POR,Santa Clara,MF,28-020,19,12,114,0,0,0,2,0,0.00,0.00
Daniel Figueira,pt POR,Gil Vicente FC,GK,27-189,2,1,12100,0,0,0,1,0,0.00,0.00
Figueiredo,br BRA,Alverca,"FW,MF",24-164,11,8,58200,1,1,0,2,0,0.15,0.15
Mateo Flores,es ESP,Arouca,MF,21-293,5,0,11200,0,0,0,1,0,0.00,0.00
Tiago Fonseca Morais,pt POR,Casa Pia,FW,22-144,12,4,44600,0,0,0,1,0,0.00,0.00
José Fontán,es ESP,Arouca,DF,25-348,16,15,128,1,1,0,8,3,0.07,0.07
José Fonte,pt POR,Casa Pia,DF,42-034,16,16,139,1,0,0,3,0,0.06,0.00
Bernardo Fontes,br BRA,Tondela,GK,23-186,18,18,162,0,0,0,1,0,0.00,0.00
Lucas França,br BRA,Nacional,GK,30-006,6,6,54000,0,0,0,1,0,0.00,0.00
Iván Fresneda,es ESP,Sporting CP,DF,21-119,15,13,96600,1,0,0,5,0,0.09,0.00
Victor Froholdt,dk DEN,Porto,MF,19-334,18,18,159,2,3,0,1,0,0.11,0.17
Taichi Fukui,jp JPN,Arouca,MF,21-194,18,14,122,2,2,0,2,1,0.15,0.15
Tiago Galletto,uy URU,AVS Futebol,DF,23-259,7,1,20000,0,0,0,1,0,0.00,0.00
García,br BRA,Famalicão,DF,24-021,4,0,7100,0,0,0,0,0,0.00,0.00
Fabrício Garcia,cv CPV,Estoril,FW,24-266,7,0,17200,0,0,0,1,0,0.00,0.00
Santiago García,es ESP,Gil Vicente FC,MF,24-149,18,16,133,3,0,0,4,0,0.20,0.00
André Geraldes,pt POR,Casa Pia,"DF,MF",34-268,17,13,129,0,0,0,5,0,0.00,0.00
Ismaël Gharbi,tn TUN,Braga,MF,21-290,1,1,6800,0,0,0,0,0,0.00,0.00
Alan Godoy,es ESP,Estrela,FW,22-266,6,3,29900,0,0,0,0,0,0.00,0.00
André Gomes,pt POR,Alverca,GK,21-097,17,17,153,0,0,0,3,0,0.00,0.00
José Gomes,pt POR,Nacional,DF,29-189,16,15,135,1,3,0,1,0,0.07,0.20
William Gomes,br BRA,Porto,FW,19-316,15,8,74800,4,0,0,3,0,0.48,0.00
Sergi Gómez,es ESP,Alverca,DF,33-303,14,13,117,0,0,0,1,0,0.00,0.00
Victor Gomez,es ESP,Braga,"DF,MF",25-299,18,13,123,1,2,0,1,0,0.07,0.15
Flávio Gonçalves,pt POR,Sporting CP,FW,18-240,2,0,1400,0,0,0,0,0,0.00,0.00
Franscisco Gonçalves,pt POR,Nacional,DF,21-326,4,2,21700,0,0,0,1,0,0.00,0.00
João Gonçalves,pt POR,AVS Futebol,GK,25-081,6,6,54000,0,0,0,0,0,0.00,0.00
Pedro Gonçalves,pt POR,Sporting CP,MF,27-211,14,12,101,9,5,1,4,0,0.80,0.44
Jean Gorby,fr FRA,Braga,MF,23-184,17,14,118,0,0,0,3,0,0.00,0.00
João Goulart Silva,pt POR,Casa Pia,DF,25-363,10,7,56600,0,0,0,3,0,0.00,0.00
Tiago Gouveia,pt POR,Benfica,MF,24-221,1,0,100,0,0,0,0,0,0.00,0.00
Jimi Gower,eng ENG,Moreirense,MF,21-116,3,0,1300,0,0,0,0,0,0.00,0.00
Pablo Gozalbez,es ESP,Arouca,MF,24-270,13,4,38600,0,0,0,1,0,0.00,0.00
João Graça,pt POR,Rio Ave,MF,30-221,6,0,6100,0,0,0,0,0,0.00,0.00
Jaume Grau,es ESP,AVS Futebol,MF,28-265,17,16,131,0,0,0,7,1,0.00,0.00
Florian Grillitsch,at AUT,Braga,MF,30-171,12,5,53700,0,0,0,2,0,0.00,0.00
Marc Gual,es ESP,Rio Ave,FW,29-318,10,1,16100,0,0,0,0,0,0.00,0.00
Davy Gui,ci CIV,Alverca,MF,19-224,17,1,37800,1,1,0,3,0,0.24,0.24
Luis Guilherme,br BRA,Sporting CP,MF,19-350,2,2,14400,0,0,0,0,0,0.00,0.00
Rafik Guitane,fr FRA,Estoril,"MF,FW",26-244,16,12,94700,2,5,0,1,0,0.19,0.48
Deniz Gül,tr TUR,Porto,FW,21-207,13,0,22200,2,0,0,1,0,0.81,0.00
Justin de Haas,nl NED,Famalicão,DF,25-358,16,16,144,2,0,0,3,0,0.12,0.00
Tomás Händel,pt POR,Vitória Guimarães,MF,25-059,3,3,27000,0,1,0,0,0,0.00,0.33
Conrad Harder,dk DEN,Sporting CP,FW,20-293,4,0,6200,1,0,0,0,0,1.45,0.00
Morten Hjulmand,dk DEN,Sporting CP,MF,26-214,17,17,149,2,2,0,6,0,0.12,0.12
Joseph Hodge,ie IRL,Tondela,MF,23-133,11,6,49700,0,0,0,1,0,0.00,0.00
Jordan Holsgrove,sct SCO,Estoril,MF,26-137,18,18,155,1,5,0,5,0,0.06,0.29
Lukáš Horníček,cz CZE,Braga,GK,23-196,18,18,162,0,0,0,1,0,0.00,0.00
Ricardo Horta,pt POR,Braga,"MF,FW",31-132,15,12,105,6,0,1,3,1,0.51,0.00
Xabier Huarte Armendáriz,es ESP,Tondela,MF,24-334,4,1,13500,0,0,0,0,0,0.00,0.00
Lee Hyunju,kr KOR,Arouca,MF,22-352,17,12,104,2,2,0,3,0,0.17,0.17
André Inácio,br BRA,Rio Ave,FW,23-336,18,16,143,7,5,0,3,0,0.44,0.32
Gonçalo Inácio,pt POR,Sporting CP,DF,24-153,19,19,163,0,3,0,3,1,0.00,0.17
Fotis Ioannidis,gr GRE,Sporting CP,"FW,MF",26-015,12,3,44900,3,0,0,0,0,0.60,0.00
Or Israelov,il ISR,Estoril,DF,21-145,1,0,1800,0,0,0,0,0,0.00,0.00
Franjo Ivanović,hr CRO,Benfica,FW,22-116,15,6,54300,3,0,1,1,0,0.50,0.00
Isaac James,ng NGA,Alverca,"MF,DF",21-150,7,4,37800,0,1,0,1,0,0.00,0.24
Romualdas Jansonas,lt LTU,Arouca,FW,20-216,2,0,4800,0,0,0,0,0,0.00,0.00
Luis Javier Suárez,co COL,Sporting CP,FW,28-054,19,19,160,17,4,2,4,0,0.96,0.23
Alisson Jesus,br BRA,Estrela,FW,20-289,3,0,5500,0,0,0,1,0,0.00,0.00
Lucas João,ao ANG,Nacional,FW,32-143,11,0,9700,0,1,0,0,0,0.00,0.93
Luuk de Jong,nl NED,Porto,FW,35-151,5,2,25900,1,0,0,1,0,0.35,0.00
Joel Jorquera,es ESP,Moreirense,MF,25-159,4,0,3200,0,0,0,0,0,0.00,0.00
Antoine Joujou,fr FRA,Famalicão,MF,22-319,13,3,34200,1,0,0,0,0,0.26,0.00
Daniel Júnior,br BRA,Nacional,"MF,FW",23-261,3,2,16700,0,0,0,1,0,0.00,0.00
Kaique,br BRA,Nacional,GK,22-284,12,12,108,0,0,0,3,0,0.00,0.00
Kali,ao ANG,Casa Pia,DF,22-059,2,1,14400,0,0,0,0,0,0.00,0.00
Yann Karamoh,fr FRA,Porto,"FW,MF",27-201,1,0,800,0,0,0,0,0,0.00,0.00
Kauan,br BRA,Alverca,DF,20-274,2,0,1100,0,0,0,0,0,0.00,0.00
Kikas,pt POR,Estrela,FW,27-130,17,14,120,6,1,0,0,0,0.45,0.07
Kiko,pt POR,Moreirense,"DF,MF",23-284,15,14,111,1,0,0,3,0,0.08,0.00
Jakub Kiwior,pl POL,Porto,DF,25-344,14,14,126,0,1,0,0,0,0.00,0.07
Gustavo Klismahn,br BRA,Santa Clara,MF,26-063,3,3,24700,0,0,0,1,0,0.00,0.00
Giorgi Kochorashvili,ge GEO,Sporting CP,MF,26-210,13,4,48000,0,1,0,0,0,0.00,0.19
Kobamelo Kodisang,za RSA,AVS Futebol,MF,26-150,4,1,11600,0,0,0,0,0,0.00,0.00
Ghislain Konan,ci CIV,Gil Vicente FC,DF,30-029,15,15,134,0,0,0,3,0,0.00,0.00
Bas Kuipers,nl NED,Arouca,DF,31-161,2,1,7100,0,0,0,0,0,0.00,0.00
Chiheb Labidi,tn TUN,Nacional,MF,24-238,16,11,93000,1,1,0,3,0,0.10,0.10
André Lacximicant,pt POR,Estoril,"FW,MF",24-251,15,9,84300,2,1,0,1,0,0.21,0.11
Gustaf Lagerbielke,se SWE,Braga,DF,25-290,15,13,122,2,0,0,4,1,0.15,0.00
Landerson,br BRA,Moreirense,"FW,MF",19-044,15,6,69300,0,2,0,2,0,0.00,0.26
Larra,es ESP,Casa Pia,"MF,DF",28-039,19,19,160,2,3,0,3,0,0.11,0.17
Orest Lebedenko,ua UKR,Vitória Guimarães,DF,27-124,9,3,38000,0,0,0,1,0,0.00,0.00
Tiago Leite,pt POR,Alverca,FW,25-178,9,0,13200,0,0,0,0,0,0.00,0.00
Leonardo Lelo,pt POR,Braga,"MF,DF",25-301,18,15,131,0,4,0,0,0,0.00,0.28
Georgios Liavas,gr GRE,Rio Ave,MF,24-347,18,5,64300,0,1,0,2,0,0.00,0.14
Felipe Lima,br BRA,Alverca,FW,19-283,4,0,3200,0,0,0,0,0,0.00,0.00
Ivan Lima,pt POR,Benfica,FW,21-012,1,0,1400,0,0,0,0,0,0.00,0.00
Pedro Lima,br BRA,AVS Futebol,MF,22-304,15,11,98200,1,2,0,2,0,0.09,0.18
Sandro Lima,br BRA,Alverca,FW,35-089,16,6,60500,3,2,0,0,1,0.45,0.30
Lincoln,br BRA,Alverca,"FW,MF",27-079,15,14,113,2,2,0,4,0,0.16,0.16
Yan Lincon,br BRA,Moreirense,FW,23-134,11,2,32300,1,1,0,2,0,0.28,0.28
Jérémy Livolant,fr FRA,Casa Pia,"FW,MF",28-016,19,19,164,3,5,1,2,0,0.16,0.27
Dailon Livramento,cv CPV,Casa Pia,FW,24-266,12,6,51900,0,0,0,2,0,0.00,0.00
Liziero,br BRA,Nacional,MF,27-352,18,18,150,0,4,0,4,0,0.00,0.24
Diogo Lobão,pt POR,Vitória Guimarães,MF,20-005,9,2,36900,0,1,0,1,0,0.00,0.24
Julien Lomboto,,Rio Ave,DF,23-257,4,2,14400,0,0,0,1,0,0.00,0.00
Nodari Lominadze,ge GEO,Estoril,MF,23-296,14,8,61900,2,0,0,4,0,0.29,0.00
Tom van de Looi,nl NED,Famalicão,MF,26-207,17,16,143,0,0,0,4,0,0.00,0.00
Rony Lopes,pt POR,Tondela,MF,30-028,7,6,37200,1,2,0,1,0,0.24,0.48
Bruno Lourenço,pt POR,AVS Futebol,MF,27-357,7,2,23500,0,0,0,0,0,0.00,0.00
Florentino Luís,pt POR,Benfica,MF,26-159,3,0,3800,0,0,0,0,0,0.00,0.00
Dodi Lukebakio,be BEL,Benfica,MF,28-123,6,5,41800,0,3,0,1,0,0.00,0.65
Luquinhas,br BRA,Santa Clara,"MF,FW",29-119,9,2,21400,0,0,0,1,0,0.00,0.00
Miguel Maga,pt POR,Vitória Guimarães,DF,23-070,17,17,131,0,0,0,4,0,0.00,0.00
Gonçalo Maia,pt POR,Gil Vicente FC,MF,20-056,2,0,500,0,0,0,1,0,0.00,0.00
Otar Mamageishvili,ge GEO,Famalicão,MF,23-010,6,1,10500,0,0,0,0,0,0.00,0.00
Ricardo Mangas,pt POR,Sporting CP,DF,27-312,10,8,66000,2,1,0,3,0,0.27,0.14
Elias Manoel,br BRA,Santa Clara,FW,24-056,8,0,14200,1,0,0,1,0,0.63,0.00
Brian Mansilla,uy URU,Arouca,FW,23-256,12,0,17500,0,0,0,1,0,0.00,0.00
Tiago Manso,pt POR,Tondela,"DF,MF",26-043,16,12,99700,1,0,1,5,0,0.09,0.00
Nico Mantl,de GER,Arouca,GK,25-353,8,8,72000,0,0,0,0,0,0.00,0.00
